LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
AUT,CPI,TOT,AGRWTH,M,2010-01,1.22,Austria
AUT,CPI,TOT,AGRWTH,M,2010-02,1.03,Austria
AUT,CPI,TOT,AGRWTH,M,2010-03,1.96,Austria
AUT,CPI,TOT,AGRWTH,M,2010-04,2.05,Austria
AUT,CPI,TOT,AGRWTH,M,2010-05,1.86,Austria
AUT,CPI,TOT,AGRWTH,M,2010-06,1.95,Austria
AUT,CPI,TOT,AGRWTH,M,2010-07,1.86,Austria
AUT,CPI,TOT,AGRWTH,M,2010-08,1.67,Austria
AUT,CPI,TOT,AGRWTH,M,2010-09,1.86,Austria
AUT,CPI,TOT,AGRWTH,M,2010-10,2.13,Austria
AUT,CPI,TOT,AGRWTH,M,2010-11,1.85,Austria
AUT,CPI,TOT,AGRWTH,M,2010-12,2.31,Austria
AUT,CPI,TOT,AGRWTH,M,2011-01,2.5,Austria
AUT,CPI,TOT,AGRWTH,M,2011-02,3.02,Austria
AUT,CPI,TOT,AGRWTH,M,2011-03,3.09,Austria
AUT,CPI,TOT,AGRWTH,M,2011-04,3.31,Austria
AUT,CPI,TOT,AGRWTH,M,2011-05,3.32,Austria
AUT,CPI,TOT,AGRWTH,M,2011-06,3.32,Austria
AUT,CPI,TOT,AGRWTH,M,2011-07,3.49,Austria
AUT,CPI,TOT,AGRWTH,M,2011-08,3.5,Austria
AUT,CPI,TOT,AGRWTH,M,2011-09,3.62,Austria
AUT,CPI,TOT,AGRWTH,M,2011-10,3.44,Austria
AUT,CPI,TOT,AGRWTH,M,2011-11,3.63,Austria
AUT,CPI,TOT,AGRWTH,M,2011-12,3.17,Austria
AUT,CPI,TOT,AGRWTH,M,2012-01,2.77,Austria
AUT,CPI,TOT,AGRWTH,M,2012-02,2.56,Austria
AUT,CPI,TOT,AGRWTH,M,2012-03,2.43,Austria
AUT,CPI,TOT,AGRWTH,M,2012-04,2.32,Austria
AUT,CPI,TOT,AGRWTH,M,2012-05,2.13,Austria
AUT,CPI,TOT,AGRWTH,M,2012-06,2.22,Austria
AUT,CPI,TOT,AGRWTH,M,2012-07,2.13,Austria
AUT,CPI,TOT,AGRWTH,M,2012-08,2.22,Austria
AUT,CPI,TOT,AGRWTH,M,2012-09,2.69,Austria
AUT,CPI,TOT,AGRWTH,M,2012-10,2.79,Austria
AUT,CPI,TOT,AGRWTH,M,2012-11,2.79,Austria
AUT,CPI,TOT,AGRWTH,M,2012-12,2.78,Austria
AUT,CPI,TOT,AGRWTH,M,2013-01,2.7,Austria
AUT,CPI,TOT,AGRWTH,M,2013-02,2.49,Austria
AUT,CPI,TOT,AGRWTH,M,2013-03,2.28,Austria
AUT,CPI,TOT,AGRWTH,M,2013-04,1.98,Austria
AUT,CPI,TOT,AGRWTH,M,2013-05,2.27,Austria
AUT,CPI,TOT,AGRWTH,M,2013-06,2.17,Austria
AUT,CPI,TOT,AGRWTH,M,2013-07,1.99,Austria
AUT,CPI,TOT,AGRWTH,M,2013-08,1.8,Austria
AUT,CPI,TOT,AGRWTH,M,2013-09,1.69,Austria
AUT,CPI,TOT,AGRWTH,M,2013-10,1.4,Austria
AUT,CPI,TOT,AGRWTH,M,2013-11,1.4,Austria
AUT,CPI,TOT,AGRWTH,M,2013-12,1.87,Austria
AUT,CPI,TOT,AGRWTH,M,2014-01,1.59,Austria
AUT,CPI,TOT,AGRWTH,M,2014-02,1.5,Austria
AUT,CPI,TOT,AGRWTH,M,2014-03,1.67,Austria
AUT,CPI,TOT,AGRWTH,M,2014-04,1.67,Austria
AUT,CPI,TOT,AGRWTH,M,2014-05,1.76,Austria
AUT,CPI,TOT,AGRWTH,M,2014-06,1.85,Austria
AUT,CPI,TOT,AGRWTH,M,2014-07,1.77,Austria
AUT,CPI,TOT,AGRWTH,M,2014-08,1.67,Austria
AUT,CPI,TOT,AGRWTH,M,2014-09,1.57,Austria
AUT,CPI,TOT,AGRWTH,M,2014-10,1.57,Austria
AUT,CPI,TOT,AGRWTH,M,2014-11,1.66,Austria
AUT,CPI,TOT,AGRWTH,M,2014-12,1.01,Austria
AUT,CPI,TOT,AGRWTH,M,2015-01,0.74,Austria
AUT,CPI,TOT,AGRWTH,M,2015-02,0.86,Austria
AUT,CPI,TOT,AGRWTH,M,2015-03,0.96,Austria
AUT,CPI,TOT,AGRWTH,M,2015-04,1.07,Austria
AUT,CPI,TOT,AGRWTH,M,2015-05,0.99,Austria
AUT,CPI,TOT,AGRWTH,M,2015-06,1.0,Austria
